Model,AUC_ROC,F1,Precision,Recall,PR_AUC,KS_Statistic
Logistic Regression,0.8386372909016727,0.7,0.6702127659574468,0.7325581395348837,0.8107402998162905,0.5338637290901673
Decision Tree,0.6532027743778048,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.5356030286641428,0.3092615259077927
Random Forest,0.8439922480620156,0.7619047619047619,0.7804878048780488,0.7441860465116279,0.8110606299075279,0.5862913096695226
XGBoost,0.8322113423092615,0.72,0.7078651685393258,0.7325581395348837,0.7997539830044833,0.5161158710730314
